METPO_ID	URI	Label	Occurrences	Files
METPO:1000602	<https://w3id.org/metpo/1000602>	aerobic	1	growth_conditions_gpt-4o_20251030_142703.yaml
METPO:1000603	<https://w3id.org/metpo/1000603>	anaerobic	1	growth_conditions_gpt-4o_20251030_142703.yaml
METPO:1000605	<https://w3id.org/metpo/1000605>	facultative	1	growth_conditions_gpt-4o_20251030_142703.yaml
METPO:1000615	<https://w3id.org/metpo/1000615>	mesophilic	1	growth_conditions_gpt-4o_20251030_142703.yaml
METPO:1000620	<https://w3id.org/metpo/1000620>	halophilic	1	growth_conditions_gpt-4o_20251030_142703.yaml
METPO:1000681	<https://w3id.org/metpo/1000681>	rod-shaped (0.6-0.7×1.2-2.7 μm)	2	morphology_gpt-4o_20251030_180642.yaml
METPO:1000702	<https://w3id.org/metpo/1000702>	motile	5	morphology_gpt-4o_20251030_180642.yaml; morphology_hybrid_gpt4o_t00_20251031_202849.yaml; morphology_v3_gpt4o_t00_20251031.yaml; morphology_v4_gpt4o_t00_20251031.yaml
METPO:1000703	<https://w3id.org/metpo/1000703>	non-motile	4	morphology_gpt-4o_20251030_174301.yaml; morphology_gpt-4o_20251030_180642.yaml
