File	METPO_Count	Input_Bytes	Input_KB	METPO_per_KB
growth_conditions_gpt-4o_20251030_142703.yaml	5	99799	97.46	0.0513
morphology_gpt-4o_20251030_180642.yaml	3	99799	97.46	0.0308
morphology_gpt-4o_20251030_180642.yaml	3	99799	97.46	0.0308
morphology_gpt-4o_20251030_174301.yaml	1	4156	4.06	0.2464
morphology_gpt-4o_20251030_174301.yaml	1	4156	4.06	0.2464
morphology_v3_gpt4o_t00_20251031.yaml	1	146354	142.92	0.0070
morphology_v4_gpt4o_t00_20251031.yaml	1	146354	142.92	0.0070
morphology_hybrid_gpt4o_t00_20251031_202849.yaml	1	146354	142.92	0.0070
